company,profits,rank,revenues,year
Bethlehem Steel,191.0,9,"2,603.7",1958
Exxon Mobil,562.5,2,"7,543.6",1959
Ford Motor,95.7,3,"4,130.3",1959
General Electric,242.9,4,"4,120.8",1959
U.S. Steel,301.6,5,"3,472.2",1959
Mobil,156.8,6,"2,885.7",1959
Gulf Oil,329.5,7,"2,769.4",1959
Esmark,10.0,8,"2,645.4",1959
Texaco,310.2,9,"2,327.9",1959
Exxon Mobil,709.3,2,"6,272.4",1956
Ford Motor,437.0,3,"5,594.0",1956
U.S. Steel,370.1,4,"4,097.7",1956
Chrysler,100.1,5,"3,466.2",1956
General Electric,200.9,6,"3,095.4",1956
Esmark,22.9,7,"2,404.1",1956
Bethlehem Steel,180.2,8,"2,096.6",1956
Armour,10.1,9,"1,967.7",1956
Exxon Mobil,584.8,2,"5,661.4",1955
U.S. Steel,195.4,3,"3,250.4",1955
General Electric,212.6,4,"2,959.1",1955
Esmark,19.1,5,"2,510.8",1955
Chrysler,18.5,6,"2,071.6",1955
Armour,1.6,7,"2,056.1",1955
Gulf Oil,182.8,8,"1,705.3",1955
Exxon Mobil,840.9,2,"9,536.9",1963
Ford Motor,480.7,3,"8,089.6",1963
General Electric,265.8,4,"4,792.7",1963
Mobil,242.3,5,"3,933.3",1963
U.S. Steel,163.7,6,"3,468.8",1963
Texaco,481.7,7,"3,272.1",1963
General Motors,892.8,1,"11,395.9",1962
General Motors,959.0,1,"12,736.0",1961
Exxon Mobil,688.6,2,"8,034.7",1961
International Paper,86.6,34,969.6,1957
United Technologies,37.1,35,952.9,1957
General Foods,39.0,36,931.1,1957
Rockwell Automation,28.8,37,914.0,1957
Uniroyal,31.9,38,901.3,1957
Borden Chemical,23.6,39,877.0,1957
Alcoa,89.6,40,864.4,1957
Sperry,47.4,41,815.8,1957
American Can,34.8,42,771.6,1957
ARMCO,65.6,43,761.8,1957
Eastman Kodak,94.2,44,761.7,1957
Anaconda,111.5,45,749.4,1957
Esmark,19.1,10,"2,475.5",1960
AT&T Technologies,102.2,11,"2,314.9",1960
DuPont,418.7,12,"2,114.3",1960
Bethlehem Steel,117.2,13,"2,055.7",1960
Amoco,139.6,14,"1,956.8",1960
CBS,85.9,15,"1,910.7",1960
Armour,14.1,16,"1,869.8",1960
General Dynamics,31.1,17,"1,811.9",1960
Shell Oil,147.4,18,"1,810.0",1960
Boeing,12.4,19,"1,612.2",1960
Kraft,49.4,20,"1,605.7",1960
Esmark,13.5,10,"2,542.2",1958
AT&T Technologies,84.6,11,"2,480.1",1958
Texaco,332.3,12,"2,344.2",1958
Amoco,151.5,13,"2,010.1",1958
CBS,72.7,14,"2,009.0",1958
DuPont,396.6,15,"1,964.3",1958
Armour,3.4,16,"1,935.7",1958
Shell Oil,135.1,17,"1,764.6",1958
ChevronTexaco,288.2,18,"1,650.8",1958
AT&T Technologies,85.9,10,"2,173.4",1959
Chrysler,-33.8,11,"2,165.4",1959
Bethlehem Steel,137.7,12,"2,005.9",1959
CBS,74.8,13,"1,895.7",1959
Amoco,117.8,14,"1,864.0",1959
Armour,5.6,15,"1,850.4",1959
DuPont,341.2,16,"1,829.2",1959
Boeing,29.4,17,"1,711.9",1959
Shell Oil,116.6,18,"1,666.0",1959
ChevronTexaco,257.8,19,"1,559.2",1959
General Dynamics,36.7,20,"1,511.5",1959
Kraft,45.5,21,"1,451.2",1959
Goodyear Tire & Rubber,65.7,22,"1,367.6",1959
DuPont,431.6,10,"1,909.2",1956
Gulf Oil,218.1,11,"1,895.7",1956
AT&T Technologies,63.3,12,"1,853.3",1956
Mobil,207.4,13,"1,839.3",1956
Amoco,157.1,14,"1,781.3",1956
Texaco,262.7,15,"1,767.3",1956
Shell Oil,125.5,16,"1,484.1",1956
CBS,42.8,17,"1,441.0",1956
Goodyear Tire & Rubber,59.7,18,"1,372.2",1956
ChevronTexaco,231.1,19,"1,277.8",1956
Kraft,40.3,20,"1,260.2",1956
Mobil,183.8,9,"1,703.6",1955
DuPont,344.4,10,"1,687.7",1955
Amoco,132.8,11,"1,667.4",1955
Bethlehem Steel,117.2,12,"1,660.3",1955
CBS,84.6,13,"1,631.0",1955
Texaco,226.1,14,"1,574.4",1955
AT&T Technologies,55.8,15,"1,526.2",1955
Shell Oil,121.1,16,"1,312.1",1955
Kraft,37.4,17,"1,210.3",1955
ChevronTexaco,211.9,18,"1,113.3",1955
Gulf Oil,340.1,8,"2,836.3",1963
AT&T Technologies,135.2,9,"2,761.6",1963
Esmark,16.3,10,"2,494.6",1963
DuPont,451.6,11,"2,436.4",1963
Chrysler,65.4,12,"2,377.6",1963
ChevronTexaco,313.8,13,"2,150.9",1963
Amoco,162.4,14,"2,147.8",1963
Bethlehem Steel,88.7,15,"2,072.1",1963
Shell Oil,157.7,16,"1,960.7",1963
CBS,57.1,17,"1,954.5",1963
Exxon Mobil,758.1,2,"8,437.7",1962
Ford Motor,409.6,3,"6,709.4",1962
General Electric,242.1,4,"4,456.8",1962
Mobil,211.3,5,"3,321.2",1962
U.S. Steel,190.2,6,"3,301.7",1962
Texaco,430.1,7,"3,042.3",1962
Gulf Oil,338.5,8,"2,744.8",1962
AT&T Technologies,122.2,9,"2,607.3",1962
Esmark,12.1,10,"2,489.0",1962
Ford Motor,427.9,3,"5,237.9",1961
General Electric,200.1,4,"4,197.5",1961
U.S. Steel,304.2,5,"3,698.5",1961
Mobil,182.6,6,"3,178.1",1961
Chrysler,32.2,7,"3,007.0",1961
Texaco,391.8,8,"2,980.3",1961
Gulf Oil,330.3,9,"2,720.8",1961
AT&T Technologies,124.5,10,"2,640.4",1961
General Motors,609.1,1,"18,752.4",1971
Exxon Mobil,"1,309.5",2,"16,554.2",1971
General Motors,"2,125.6",1,"20,734.0",1966
Ford Motor,703.0,2,"11,536.8",1966
General Motors,"1,793.4",1,"20,208.5",1967
Ford Motor,621.0,2,"12,240.0",1967
Jones & Laughlin Steel,45.1,46,742.6,1957
Lockheed Martin,13.9,47,742.6,1957
Intl. Business Machines,68.8,48,734.3,1957
Sunoco,56.2,49,731.4,1957
Ryerson Tull,53.0,50,727.2,1957
Goodrich,43.8,51,724.2,1957
Caterpillar,55.4,52,685.9,1957
Youngstown Sheet & Tube,43.2,53,676.3,1957
Honeywell Intl.,47.0,54,668.9,1957
AMAX,23.9,55,667.3,1957
National Intergroup,52.5,56,664.3,1957
Goodyear Tire & Rubber,76.0,21,"1,579.3",1960
ChevronTexaco,253.6,22,"1,564.8",1960
Union Carbide,171.6,23,"1,531.3",1960
RCA,40.1,24,"1,388.4",1960
Procter & Gamble,81.7,25,"1,368.5",1960
Navistar International,76.4,26,"1,363.2",1960
Intl. Business Machines,145.6,27,"1,309.8",1960
Lockheed Martin,8.7,28,"1,301.6",1960
Sinclair Oil,45.5,29,"1,232.2",1960
Boeing,38.2,19,"1,596.5",1958
General Dynamics,44.3,20,"1,562.5",1958
Kraft,44.1,21,"1,432.3",1958
Goodyear Tire & Rubber,64.8,22,"1,421.8",1958
Union Carbide,133.7,23,"1,395.0",1958
Sinclair Oil,79.3,24,"1,251.1",1958
Rockwell Automation,33.9,25,"1,243.8",1958
United Technologies,51.4,26,"1,232.9",1958
Republic Steel,85.0,27,"1,227.3",1958
Navistar International,45.6,28,"1,171.4",1958
Union Carbide,124.9,23,"1,296.5",1959
Procter & Gamble,73.2,24,"1,295.2",1959
Douglas Aircraft,16.8,25,"1,209.9",1959
United Technologies,42.3,26,"1,200.4",1959
Sinclair Oil,49.5,27,"1,190.4",1959
Intl. Business Machines,126.2,28,"1,171.8",1959
RCA,30.9,29,"1,170.7",1959
Navistar International,43.0,30,"1,098.4",1959
Continental Group,41.4,31,"1,080.4",1959
ConocoPhillips,84.2,32,"1,066.6",1959
Firestone Tire & Rubber,53.8,33,"1,061.6",1959
Republic Steel,86.3,21,"1,188.6",1956
Union Carbide,140.8,22,"1,187.2",1956
Navistar International,55.5,23,"1,165.8",1956
Firestone Tire & Rubber,55.4,24,"1,114.9",1956
Sinclair Oil,80.7,25,"1,110.1",1956
RCA,47.5,26,"1,055.3",1956
Procter & Gamble,57.5,27,965.8,1956
Uniroyal,33.6,28,925.5,1956
Citgo Petroleum,49.3,29,923.2,1956
Goodyear Tire & Rubber,48.1,19,"1,090.1",1955
Boeing,37.0,20,"1,033.2",1955
Sinclair Oil,91.6,21,"1,021.5",1955
Navistar International,36.3,22,994.1,1955
RCA,40.5,23,941.0,1955
Union Carbide,89.8,24,923.7,1955
Firestone Tire & Rubber,40.5,25,916.0,1955
Douglas Aircraft,36.2,26,915.2,1955
Procter & Gamble,52.3,27,911.0,1955
Republic Steel,52.9,28,846.3,1955
Citgo Petroleum,43.7,29,813.2,1955
Intl. Business Machines,241.4,18,"1,925.2",1963
General Dynamics,52.9,19,"1,898.5",1963
Armour,14.8,20,"1,859.4",1963
Navistar International,60.2,21,"1,837.5",1963
Kraft,51.3,22,"1,820.5",1963
Boeing,27.2,23,"1,768.5",1963
Lockheed Martin,50.3,24,"1,753.1",1963
RCA,58.5,25,"1,742.7",1963
Rockwell Automation,34.6,26,"1,633.7",1963
Union Carbide,159.8,27,"1,630.7",1963
DuPont,418.2,11,"2,222.7",1962
Chrysler,11.1,12,"2,127.3",1962
General Dynamics,-143.2,13,"2,062.4",1962
ChevronTexaco,294.4,14,"2,046.5",1962
Bethlehem Steel,122.4,15,"2,033.9",1962
Amoco,153.8,16,"2,032.6",1962
CBS,45.4,17,"1,913.8",1962
Shell Oil,140.4,18,"1,881.3",1962
Boeing,35.7,19,"1,800.9",1962
Kraft,50.2,20,"1,790.8",1962
Armour,13.1,21,"1,749.0",1962
Esmark,18.4,11,"2,442.5",1961
Bethlehem Steel,121.2,12,"2,178.1",1961
DuPont,381.4,13,"2,142.6",1961
Amoco,144.8,14,"2,005.8",1961
General Dynamics,-27.1,15,"1,987.7",1961
CBS,79.1,16,"1,955.7",1961
Shell Oil,144.6,17,"1,827.8",1961
Armour,16.2,18,"1,735.6",1961
Navistar International,53.7,19,"1,683.3",1961
Kraft,50.7,20,"1,667.2",1961
Ford Motor,515.7,3,"14,979.9",1971
General Electric,328.5,4,"8,726.7",1971
Intl. Business Machines,"1,017.5",5,"7,504.0",1971
Mobil,482.7,6,"7,260.5",1971
Chrysler,-7.6,7,"6,999.7",1971
ITT Industries,353.3,8,"6,364.5",1971
Texaco,822.0,9,"6,349.8",1971
Exxon Mobil,"1,035.7",3,"11,471.5",1966
General Electric,355.1,4,"6,213.6",1966
Chrysler,233.4,5,"5,299.9",1966
Mobil,320.1,6,"4,907.5",1966
U.S. Steel,275.5,7,"4,399.6",1966
Texaco,636.7,8,"3,779.4",1966
Intl. Business Machines,476.9,9,"3,572.8",1966
Gulf Oil,427.2,10,"3,384.7",1966
AT&T Technologies,168.3,11,"3,362.1",1966
DuPont,407.2,12,"3,020.8",1966
Exxon Mobil,"1,090.9",3,"12,191.4",1967
General Electric,338.9,4,"7,177.3",1967
Chrysler,189.2,5,"5,649.5",1967
Mobil,356.1,6,"5,253.9",1967
Texaco,709.9,7,"4,427.3",1967
U.S. Steel,249.2,8,"4,355.4",1967
Intl. Business Machines,526.1,9,"4,247.7",1967
Gulf Oil,504.8,10,"3,781.8",1967
AT&T Technologies,173.1,11,"3,623.6",1967
DuPont,389.1,12,"3,185.1",1967
General Motors,"1,591.8",1,"16,494.8",1964
Exxon Mobil,"1,019.5",2,"10,264.3",1964
General Motors,"1,731.9",1,"22,755.4",1969
Exxon Mobil,"1,276.7",2,"14,091.3",1969
General Motors,"1,734.8",1,"16,997.0",1965
General Motors,"1,627.3",1,"20,026.3",1968
Exxon Mobil,"1,232.3",2,"13,266.0",1968
General Motors,"1,710.7",1,"24,295.1",1970
General Motors,"1,935.7",1,"28,263.9",1972
General Motors,"2,162.8",1,"30,435.2",1973
Exxon Mobil,"1,531.8",2,"20,309.8",1973
General Motors,"2,398.1",1,"35,798.3",1974
Exxon Mobil,"3,142.2",1,"42,061.3",1975
General Motors,950.1,2,"31,549.5",1975
Exxon Mobil,"2,503.0",1,"44,864.8",1976
General Motors,"1,253.1",2,"35,724.9",1976
Exxon Mobil,"2,641.0",1,"48,630.8",1977
General Motors,"2,902.8",2,"47,181.0",1977
Ford Motor,983.1,3,"28,839.6",1977
Burlington Industries Equity,20.8,57,636.4,1957
Wilson,7.1,58,609.0,1957
BorgWarner,35.8,59,598.7,1957
Ogden,6.7,60,597.7,1957
Olin,44.8,61,596.7,1957
PPG Industries,55.4,62,596.6,1957
Asarco,39.8,63,592.9,1957
Fortune Brands,52.0,64,585.2,1957
Bendix,24.3,65,581.4,1957
NL Industries,63.2,66,576.3,1957
Conoco,51.8,67,576.3,1957
Firestone Tire & Rubber,64.6,30,"1,187.8",1960
ConocoPhillips,104.6,31,"1,163.0",1960
Continental Group,40.0,32,"1,146.5",1960
American Can,40.9,33,"1,107.4",1960
General Telephone & Electronics,72.3,34,"1,081.1",1960
United Technologies,28.6,35,"1,081.0",1960
Republic Steel,53.9,36,"1,076.8",1960
General Foods,54.1,37,"1,053.0",1960
Rockwell Automation,30.7,38,"1,044.9",1960
International Paper,83.6,39,"1,030.2",1960
ARMCO,77.1,40,"1,022.4",1960
RCA,38.5,29,"1,170.9",1958
Firestone Tire & Rubber,61.7,30,"1,158.9",1958
Procter & Gamble,67.8,31,"1,156.4",1958
ConocoPhillips,96.2,32,"1,131.8",1958
Douglas Aircraft,30.7,33,"1,091.4",1958
Citgo Petroleum,59.2,34,"1,046.4",1958
Continental Group,41.0,35,"1,046.3",1958
American Can,45.4,36,"1,006.3",1958
Intl. Business Machines,89.3,37,"1,000.4",1958
General Foods,42.4,38,971.3,1958
International Paper,78.4,39,940.4,1958
American Can,46.4,34,"1,037.0",1959
Citgo Petroleum,44.9,35,"1,015.3",1959
General Foods,48.4,36,"1,008.9",1959
Lockheed Martin,18.6,37,962.7,1959
International Paper,72.0,38,915.1,1959
Borden Chemical,24.6,39,915.0,1959
Republic Steel,61.9,40,910.4,1959
Rockwell Automation,26.8,41,904.0,1959
Uniroyal,22.7,42,870.6,1959
ConocoPhillips,95.2,30,910.8,1956
Douglas Aircraft,28.2,31,867.5,1956
Boeing,30.4,32,853.8,1956
Alcoa,87.6,33,845.0,1956
General Foods,31.7,34,824.8,1956
Rockwell Automation,32.3,35,816.7,1956
Borden Chemical,21.7,36,810.1,1956
International Paper,83.1,37,796.4,1956
ConocoPhillips,76.2,30,794.6,1955
General Foods,27.9,31,783.0,1955
Uniroyal,28.0,32,782.6,1955
Borden Chemical,22.7,33,776.8,1955
Lockheed Martin,22.4,34,732.9,1955
Alcoa,46.5,35,708.3,1955
International Paper,73.5,36,681.2,1955
Wilson,3.1,37,680.5,1955
Sunoco,40.3,38,659.5,1955
United Technologies,26.0,39,654.2,1955
Procter & Gamble,109.4,28,"1,619.4",1963
Goodyear Tire & Rubber,71.1,29,"1,592.5",1963
General Telephone & Electronics,86.3,30,"1,327.9",1963
Firestone Tire & Rubber,60.0,31,"1,277.7",1963
ConocoPhillips,107.0,32,"1,244.6",1963
Martin Marietta,45.4,33,"1,195.3",1963
General Foods,72.2,34,"1,189.5",1963
Sinclair Oil,47.4,35,"1,184.6",1963
Continental Group,41.0,36,"1,182.9",1963
Sperry,24.4,37,"1,182.6",1963
American Can,48.7,38,"1,180.5",1963
Intl. Business Machines,207.2,22,"1,694.3",1962
Navistar International,48.4,23,"1,612.1",1962
Union Carbide,142.3,24,"1,563.4",1962
Procter & Gamble,106.6,25,"1,541.9",1962
RCA,35.5,26,"1,537.9",1962
Goodyear Tire & Rubber,76.2,27,"1,473.4",1962
Lockheed Martin,26.1,28,"1,444.5",1962
Rockwell Automation,27.8,29,"1,262.3",1962
ChevronTexaco,266.1,21,"1,663.4",1961
Boeing,24.5,22,"1,554.6",1961
Goodyear Tire & Rubber,71.0,23,"1,550.9",1961
Union Carbide,158.0,24,"1,548.2",1961
RCA,35.1,25,"1,486.2",1961
Procter & Gamble,98.1,26,"1,441.5",1961
Intl. Business Machines,168.2,27,"1,436.1",1961
Lockheed Martin,-42.9,28,"1,332.3",1961
AT&T Technologies,253.4,10,"5,856.2",1971
Gulf Oil,550.4,11,"5,396.2",1971
U.S. Steel,147.5,12,"4,814.4",1971
CBS,127.0,13,"4,313.4",1971
ChevronTexaco,454.8,14,"4,187.8",1971
LTV,-69.6,15,"3,771.7",1971
Amoco,314.0,16,"3,732.8",1971
Boeing,22.1,17,"3,677.1",1971
DuPont,328.7,18,"3,618.4",1971
Shell Oil,237.2,19,"3,589.5",1971
General Telephone & Electronics,208.2,20,"3,439.2",1971
RCA,91.7,21,"3,291.9",1971
Esmark,16.4,13,"2,751.0",1966
Bethlehem Steel,150.0,14,"2,579.4",1966
Shell Oil,234.0,15,"2,562.2",1966
Amoco,219.3,16,"2,472.0",1966
ChevronTexaco,391.2,17,"2,442.5",1966
CBS,106.9,18,"2,389.9",1966
Navistar International,100.6,19,"2,336.7",1966
Goodyear Tire & Rubber,109.2,20,"2,226.3",1966
Union Carbide,226.9,21,"2,063.9",1966
Armour,18.2,22,"2,061.7",1966
Procter & Gamble,133.2,23,"2,058.6",1966
RCA,101.2,24,"2,042.0",1966
Esmark,4.8,13,"2,970.5",1967
Shell Oil,255.2,14,"2,789.8",1967
Amoco,255.9,15,"2,708.5",1967
ChevronTexaco,424.0,16,"2,698.3",1967
Bethlehem Steel,170.9,17,"2,669.4",1967
Navistar International,109.7,18,"2,583.0",1967
CBS,119.7,19,"2,581.4",1967
RCA,132.4,20,"2,548.8",1967
Goodyear Tire & Rubber,118.5,21,"2,475.7",1967
Ford Motor,488.5,3,"8,742.5",1964
General Electric,270.6,4,"4,918.7",1964
Mobil,271.9,5,"4,352.1",1964
U.S. Steel,203.5,6,"3,599.3",1964
Chrysler,161.6,7,"3,505.3",1964
Texaco,545.7,8,"3,415.7",1964
Gulf Oil,371.4,9,"2,977.9",1964
AT&T Technologies,140.5,10,"2,833.0",1964
DuPont,472.3,11,"2,584.6",1964
Esmark,17.1,12,"2,473.4",1964
Ford Motor,626.6,3,"14,075.1",1969
General Electric,357.1,4,"8,381.6",1969
Chrysler,290.7,5,"7,445.3",1969
Intl. Business Machines,871.5,6,"6,888.5",1969
Mobil,428.2,7,"6,221.0",1969
Texaco,835.5,8,"5,459.8",1969
Gulf Oil,626.3,9,"4,558.5",1969
U.S. Steel,253.7,10,"4,536.7",1969
ITT Industries,192.4,11,"4,066.5",1969
AT&T Technologies,192.1,12,"4,031.9",1969
ChevronTexaco,451.8,13,"3,634.8",1969
Exxon Mobil,"1,050.6",2,"10,814.7",1965
Ford Motor,505.6,3,"9,670.8",1965
General Electric,237.3,4,"4,941.4",1965
Mobil,294.2,5,"4,499.4",1965
Chrysler,213.8,6,"4,287.3",1965
U.S. Steel,236.8,7,"4,077.5",1965
Texaco,577.4,8,"3,573.8",1965
Intl. Business Machines,431.2,9,"3,239.4",1965
Gulf Oil,395.1,10,"3,174.3",1965
AT&T Technologies,152.8,11,"3,117.2",1965
DuPont,471.4,12,"2,786.5",1965
Ford Motor,84.1,3,"10,515.7",1968
General Electric,361.4,4,"7,741.2",1968
Chrysler,200.4,5,"6,213.4",1968
Mobil,385.4,6,"5,771.8",1968
Intl. Business Machines,651.5,7,"5,345.3",1968
Texaco,754.4,8,"5,121.4",1968
Gulf Oil,578.3,9,"4,202.1",1968
U.S. Steel,172.5,10,"4,005.5",1968
AT&T Technologies,153.0,11,"3,717.5",1968
ChevronTexaco,421.7,12,"3,297.8",1968
Exxon Mobil,"1,047.6",2,"14,929.8",1970
Ford Motor,546.5,3,"14,755.6",1970
General Electric,278.0,4,"8,448.0",1970
Intl. Business Machines,933.9,5,"7,197.3",1970
Chrysler,88.8,6,"7,052.2",1970
Mobil,434.5,7,"6,621.4",1970
Texaco,769.8,8,"5,867.9",1970
ITT Industries,234.0,9,"5,474.7",1970
Gulf Oil,610.6,10,"4,953.3",1970
AT&T Technologies,227.0,11,"4,883.2",1970
U.S. Steel,217.2,12,"4,754.1",1970
Exxon Mobil,"1,461.6",2,"18,700.6",1972
Ford Motor,656.7,3,"16,433.0",1972
General Electric,471.8,4,"9,425.3",1972
Intl. Business Machines,"1,078.8",5,"8,273.6",1972
Mobil,540.8,6,"8,243.0",1972
Chrysler,83.7,7,"7,999.3",1972
Texaco,903.9,8,"7,529.1",1972
ITT Industries,336.8,9,"7,345.8",1972
AT&T Technologies,258.4,10,"6,045.2",1972
Gulf Oil,561.4,11,"5,940.0",1972
ChevronTexaco,511.1,12,"5,143.3",1972
Ford Motor,870.0,3,"20,194.4",1973
General Electric,530.0,4,"10,239.5",1973
Chrysler,220.5,5,"9,759.1",1973
Intl. Business Machines,"1,279.3",6,"9,532.6",1973
Mobil,574.2,7,"9,166.3",1973
Texaco,889.0,8,"8,693.0",1973
ITT Industries,483.3,9,"8,556.8",1973
AT&T Technologies,282.9,10,"6,551.2",1973
Gulf Oil,197.0,11,"6,243.0",1973
Exxon Mobil,"2,443.3",2,"25,724.3",1974
Ford Motor,906.5,3,"23,015.1",1974
Chrysler,255.4,4,"11,774.4",1974
General Electric,585.1,5,"11,575.3",1974
Texaco,"1,292.4",6,"11,406.9",1974
Mobil,849.3,7,"11,390.1",1974
Intl. Business Machines,"1,575.5",8,"10,993.2",1974
ITT Industries,527.8,9,"10,183.0",1974
Gulf Oil,800.0,10,"8,417.0",1974
Ford Motor,360.9,3,"23,620.6",1975
Texaco,"1,586.4",4,"23,255.5",1975
Mobil,"1,047.4",5,"18,929.0",1975
ChevronTexaco,970.0,6,"17,191.2",1975
Gulf Oil,"1,065.0",7,"16,458.0",1975
General Electric,608.1,8,"13,413.1",1975
Intl. Business Machines,"1,837.6",9,"12,675.3",1975
ITT Industries,451.1,10,"11,154.4",1975
Chrysler,-52.1,11,"10,971.4",1975
U.S. Steel,634.9,12,"9,186.4",1975
Amoco,970.3,13,"9,085.4",1975
Texaco,830.6,3,"24,507.5",1976
Ford Motor,322.7,4,"24,009.1",1976
Mobil,809.9,5,"20,620.4",1976
ChevronTexaco,772.5,6,"16,822.1",1976
Intl. Business Machines,"1,989.9",7,"14,436.5",1976
Gulf Oil,700.0,8,"14,268.0",1976
Texaco,869.7,4,"26,451.9",1977
Mobil,942.5,5,"26,062.6",1977
ChevronTexaco,880.1,6,"19,434.1",1977
Gulf Oil,816.0,7,"16,451.0",1977
Intl. Business Machines,"2,398.1",8,"16,304.3",1977
General Electric,930.6,9,"15,697.3",1977
Chrysler,422.6,10,"15,537.8",1977
ITT Industries,494.5,11,"11,764.1",1977
Amoco,893.0,12,"11,532.0",1977
General Motors,"3,508.0",1,"63,221.1",1979
General Motors,"3,337.5",1,"54,961.3",1978
Curtiss-Wright,43.2,68,571.1,1957
Kennecott,143.2,69,567.0,1957
Dow Chemical,59.7,70,565.3,1957
Allis-Chalmers,20.4,71,547.4,1957
Atlantic Richfield,47.2,72,544.9,1957
ITT Industries,28.1,73,544.8,1957
Citgo Petroleum,42.4,41,994.9,1960
Sperry,27.6,42,989.6,1960
Uniroyal,35.6,43,976.8,1960
Borden Chemical,25.5,44,941.3,1960
Eastman Kodak,124.7,45,914.1,1960
Douglas Aircraft,-33.8,46,883.9,1960
American Motors,60.3,47,869.9,1960
Borden Chemical,24.0,40,931.2,1958
Uniroyal,29.7,41,873.6,1958
Sperry,49.6,42,871.0,1958
Alcoa,75.6,43,869.4,1958
Lockheed Martin,16.3,44,868.3,1958
Jones & Laughlin Steel,45.5,45,837.6,1958
ARMCO,57.5,43,867.4,1959
Sperry,27.5,44,864.3,1959
Eastman Kodak,98.9,45,828.8,1959
Alcoa,42.9,46,753.1,1959
Sunoco,32.1,47,721.8,1959
Goodrich,46.7,38,755.0,1956
American Can,36.0,39,714.8,1956
Eastman Kodak,85.6,40,714.4,1956
United Technologies,31.1,41,697.9,1956
Jones & Laughlin Steel,50.1,42,696.5,1956
ARMCO,64.4,43,692.7,1956
American Can,30.4,40,652.4,1955
General Dynamics,20.8,41,648.6,1955
Rockwell Automation,22.2,42,645.8,1955
Eastman Kodak,69.8,43,633.5,1955
Goodrich,38.8,44,630.7,1955
Continental Group,20.7,45,616.2,1955
Bendix,25.5,46,607.7,1955
Atlantic Richfield,36.8,47,596.2,1955
Fortune Brands,41.3,48,533.1,1955
United Technologies,18.1,39,"1,160.5",1963
International Paper,67.1,40,"1,095.7",1963
ITT Industries,40.7,41,"1,090.2",1963
Citgo Petroleum,60.2,42,"1,083.4",1963
Monsanto,78.4,43,"1,063.2",1963
American Motors,34.2,44,"1,056.4",1963
Eastman Kodak,140.3,45,"1,056.1",1963
Republic Steel,40.0,46,"1,049.6",1963
General Telephone & Electronics,73.8,30,"1,226.6",1962
ConocoPhillips,113.8,31,"1,220.6",1962
Martin Marietta,44.8,32,"1,213.2",1962
Sinclair Oil,35.9,33,"1,207.3",1962
Firestone Tire & Rubber,63.6,34,"1,182.7",1962
Sperry,27.8,35,"1,177.0",1962
General Foods,66.8,36,"1,160.2",1962
Continental Group,36.1,37,"1,153.3",1962
Sinclair Oil,52.5,29,"1,222.4",1961
Firestone Tire & Rubber,65.0,30,"1,207.2",1961
ConocoPhillips,112.9,31,"1,200.2",1961
General Telephone & Electronics,72.4,32,"1,178.5",1961
Douglas Aircraft,-19.4,33,"1,174.0",1961
